Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Zimbabwe,ZWE,AFR,LMC,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,5_14,
Netherlands Antilles,ANT,AMR,,2025,2,15_64,
Netherlands Antilles,ANT,AMR,,2025,2,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,15_64,
Netherlands Antilles,ANT,AMR,,2025,3,5_14,
Netherlands Antilles,ANT,AMR,,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,2,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,15_64,
New Caledonia,NCL,WPR,HIC,2025,2,15_64,
New Caledonia,NCL,WPR,HIC,2025,3,15_64,
New Caledonia,NCL,WPR,HIC,2025,1,5_14,
Bermuda,BMU,AMR,HIC,2025,3,65+,
Bermuda,BMU,AMR,HIC,2025,3,5_14,
Bermuda,BMU,AMR,HIC,2025,2,65+,
Bermuda,BMU,AMR,HIC,2025,2,5_14,
Bermuda,BMU,AMR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,1,15_64,
Bermuda,BMU,AMR,HIC,2025,1,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,65+,
Netherlands Antilles,ANT,AMR,,2025,2,65+,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,15_64,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,5_14,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,5_14,
Netherlands Antilles,ANT,AMR,,2025,3,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,5_14,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,2,65+,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,3,65+,
Bermuda,BMU,AMR,HIC,2025,3,0_4,
Bermuda,BMU,AMR,HIC,2025,2,0_4,
Bermuda,BMU,AMR,HIC,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,1,0_4,
Netherlands Antilles,ANT,AMR,,2025,2,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,1,65+,
New Caledonia,NCL,WPR,HIC,2025,2,5_14,
New Caledonia,NCL,WPR,HIC,2025,2,65+,
Bermuda,BMU,AMR,HIC,2025,3,15_64,
Bermuda,BMU,AMR,HIC,2025,2,15_64,
Bermuda,BMU,AMR,HIC,2025,1,15_64,
Nicaragua,NIC,AMR,LMC,2025,3,65+,
Nicaragua,NIC,AMR,LMC,2025,1,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,5_14,
Nicaragua,NIC,AMR,LMC,2025,3,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,65+,
Nicaragua,NIC,AMR,LMC,2025,1,15_64,
Nicaragua,NIC,AMR,LMC,2025,3,15_64,
Niger,NER,AFR,LIC,2025,1,65+,
Niger,NER,AFR,LIC,2025,2,65+,
Niger,NER,AFR,LIC,2025,3,65+,
Niger,NER,AFR,LIC,2025,1,5_14,
Niger,NER,AFR,LIC,2025,2,5_14,
Niger,NER,AFR,LIC,2025,3,5_14,
Nicaragua,NIC,AMR,LMC,2025,2,15_64,
Nicaragua,NIC,AMR,LMC,2025,1,65+,
Nicaragua,NIC,AMR,LMC,2025,3,0_4,
Nicaragua,NIC,AMR,LMC,2025,2,0_4,
New Caledonia,NCL,WPR,HIC,2025,3,5_14,
New Caledonia,NCL,WPR,HIC,2025,3,65+,
New Caledonia,NCL,WPR,HIC,2025,1,0_4,
New Caledonia,NCL,WPR,HIC,2025,3,0_4,
New Zealand,NZL,WPR,HIC,2025,1,15_64,
New Zealand,NZL,WPR,HIC,2025,2,15_64,
New Zealand,NZL,WPR,HIC,2025,3,15_64,
New Zealand,NZL,WPR,HIC,2025,1,5_14,
New Zealand,NZL,WPR,HIC,2025,2,5_14,
New Zealand,NZL,WPR,HIC,2025,3,5_14,
New Zealand,NZL,WPR,HIC,2025,1,65+,
New Zealand,NZL,WPR,HIC,2025,2,65+,
New Zealand,NZL,WPR,HIC,2025,3,65+,
New Zealand,NZL,WPR,HIC,2025,1,0_4,
New Zealand,NZL,WPR,HIC,2025,2,0_4,
New Zealand,NZL,WPR,HIC,2025,3,0_4,
Nicaragua,NIC,AMR,LMC,2025,1,0_4,
Netherlands (Kingdom of the),NLD,EUR,HIC,2025,1,0_4,
Niger,NER,AFR,LIC,2025,1,0_4,
Bhutan,BTN,SEAR,LMC,2025,1,5_14,
Bhutan,BTN,SEAR,LMC,2025,2,5_14,
Myanmar,MMR,SEAR,LMC,2025,3,0_4,
Myanmar,MMR,SEAR,LMC,2025,1,5_14,
Myanmar,MMR,SEAR,LMC,2025,2,5_14,
Myanmar,MMR,SEAR,LMC,2025,3,5_14,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,65+,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,5_14,0
Myanmar,MMR,SEAR,LMC,2025,1,65+,
Myanmar,MMR,SEAR,LMC,2025,2,0_4,
Myanmar,MMR,SEAR,LMC,2025,2,65+,
Myanmar,MMR,SEAR,LMC,2025,1,15_64,
Myanmar,MMR,SEAR,LMC,2025,2,15_64,
Myanmar,MMR,SEAR,LMC,2025,3,15_64,
Namibia,NAM,AFR,UMC,2025,1,65+,
Namibia,NAM,AFR,UMC,2025,2,65+,
Namibia,NAM,AFR,UMC,2025,3,65+,
Namibia,NAM,AFR,UMC,2025,1,15_64,
Myanmar,MMR,SEAR,LMC,2025,3,65+,
Namibia,NAM,AFR,UMC,2025,2,15_64,
Myanmar,MMR,SEAR,LMC,2025,1,0_4,
Mozambique,MOZ,AFR,LIC,2025,3,0_4,
Morocco,MAR,EMR,LMC,2025,2,65+,
Morocco,MAR,EMR,LMC,2025,3,65+,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,3,15_64,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,15_64,1
Mozambique,MOZ,AFR,LIC,2025,2,0_4,
Mozambique,MOZ,AFR,LIC,2025,1,15_64,
Mozambique,MOZ,AFR,LIC,2025,3,15_64,
Mozambique,MOZ,AFR,LIC,2025,3,5_14,
Mozambique,MOZ,AFR,LIC,2025,1,65+,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,0_4,0
Mozambique,MOZ,AFR,LIC,2025,2,65+,
Mozambique,MOZ,AFR,LIC,2025,3,65+,
Mozambique,MOZ,AFR,LIC,2025,1,0_4,
Mozambique,MOZ,AFR,LIC,2025,1,5_14,
Mozambique,MOZ,AFR,LIC,2025,2,15_64,
Mozambique,MOZ,AFR,LIC,2025,2,5_14,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,1,65+,0
Namibia,NAM,AFR,UMC,2025,3,15_64,
Namibia,NAM,AFR,UMC,2025,1,0_4,
Namibia,NAM,AFR,UMC,2025,1,5_14,
Nauru,NRU,WPR,HIC,2025,3,0_4,
Nepal,NPL,SEAR,LMC,2025,1,0_4,
Nepal,NPL,SEAR,LMC,2025,2,0_4,
Nepal,NPL,SEAR,LMC,2025,2,65+,
Nepal,NPL,SEAR,LMC,2025,3,0_4,
Nepal,NPL,SEAR,LMC,2025,3,65+,
Nepal,NPL,SEAR,LMC,2025,1,65+,
Nauru,NRU,WPR,HIC,2025,2,0_4,
Nepal,NPL,SEAR,LMC,2025,2,5_14,
Nepal,NPL,SEAR,LMC,2025,1,15_64,
Nepal,NPL,SEAR,LMC,2025,1,5_14,
Nepal,NPL,SEAR,LMC,2025,2,15_64,
Nepal,NPL,SEAR,LMC,2025,3,15_64,
Bhutan,BTN,SEAR,LMC,2025,3,65+,
Bhutan,BTN,SEAR,LMC,2025,3,5_14,
Bhutan,BTN,SEAR,LMC,2025,2,65+,
Nepal,NPL,SEAR,LMC,2025,3,5_14,
Nauru,NRU,WPR,HIC,2025,1,0_4,
Nauru,NRU,WPR,HIC,2025,3,15_64,
Nauru,NRU,WPR,HIC,2025,2,15_64,
Namibia,NAM,AFR,UMC,2025,2,0_4,
Namibia,NAM,AFR,UMC,2025,2,5_14,
Namibia,NAM,AFR,UMC,2025,3,0_4,
Namibia,NAM,AFR,UMC,2025,3,5_14,
Bhutan,BTN,SEAR,LMC,2025,3,0_4,
Bhutan,BTN,SEAR,LMC,2025,2,0_4,
Nauru,NRU,WPR,HIC,2025,1,5_14,
Nauru,NRU,WPR,HIC,2025,1,65+,
Nauru,NRU,WPR,HIC,2025,2,5_14,
Nauru,NRU,WPR,HIC,2025,2,65+,
Nauru,NRU,WPR,HIC,2025,3,5_14,
Nauru,NRU,WPR,HIC,2025,3,65+,
Bhutan,BTN,SEAR,LMC,2025,3,15_64,
Bhutan,BTN,SEAR,LMC,2025,2,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,0_4,
Nauru,NRU,WPR,HIC,2025,1,15_64,
Bhutan,BTN,SEAR,LMC,2025,1,65+,
Morocco,MAR,EMR,LMC,2025,1,65+,
Niger,NER,AFR,LIC,2025,2,0_4,
Niger,NER,AFR,LIC,2025,1,15_64,
Belize,BLZ,AMR,UMC,2025,3,15_64,
Belize,BLZ,AMR,UMC,2025,2,15_64,
Belize,BLZ,AMR,UMC,2025,1,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,15_64,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,1,15_64,
Oman,OMN,EMR,HIC,2025,2,15_64,
Oman,OMN,EMR,HIC,2025,3,15_64,
Oman,OMN,EMR,HIC,2025,1,0_4,
Oman,OMN,EMR,HIC,2025,1,5_14,
Oman,OMN,EMR,HIC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,2,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,0_4,
Oman,OMN,EMR,HIC,2025,3,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,5_14,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,3,65+,
Northern Mariana Islands,MNP,WPR,HIC,2025,2,15_64,
Northern Mariana Islands,MNP,WPR,HIC,2025,3,15_64,
Norway,NOR,EUR,HIC,2025,1,5_14,
Norway,NOR,EUR,HIC,2025,2,5_14,
Norway,NOR,EUR,HIC,2025,3,5_14,
Norway,NOR,EUR,HIC,2025,1,0_4,
Norway,NOR,EUR,HIC,2025,3,0_4,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,5_14,
Norway,NOR,EUR,HIC,2025,1,15_64,
Norway,NOR,EUR,HIC,2025,2,15_64,
Norway,NOR,EUR,HIC,2025,3,15_64,
Norway,NOR,EUR,HIC,2025,1,65+,
Norway,NOR,EUR,HIC,2025,2,65+,
Norway,NOR,EUR,HIC,2025,3,65+,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,1,65+,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,LMC,2025,2,65+,
Norway,NOR,EUR,HIC,2025,2,0_4,
Oman,OMN,EMR,HIC,2025,3,5_14,
Oman,OMN,EMR,HIC,2025,1,65+,
Oman,OMN,EMR,HIC,2025,2,65+,
Palau,PLW,WPR,HIC,2025,2,0_4,
Palau,PLW,WPR,HIC,2025,2,5_14,
Palau,PLW,WPR,HIC,2025,3,0_4,
Palau,PLW,WPR,HIC,2025,3,5_14,
Belgium,BEL,EUR,HIC,2025,3,5_14,
Belgium,BEL,EUR,HIC,2025,3,15_64,
Belgium,BEL,EUR,HIC,2025,2,5_14,
Palau,PLW,WPR,HIC,2025,1,5_14,
Belgium,BEL,EUR,HIC,2025,2,15_64,
Belgium,BEL,EUR,HIC,2025,1,15_64,
Palau,PLW,WPR,HIC,2025,1,65+,
Palau,PLW,WPR,HIC,2025,2,65+,
Palau,PLW,WPR,HIC,2025,3,65+,
Palau,PLW,WPR,HIC,2025,1,15_64,
Palau,PLW,WPR,HIC,2025,2,15_64,
Palau,PLW,WPR,HIC,2025,3,15_64,
Belgium,BEL,EUR,HIC,2025,1,5_14,
Palau,PLW,WPR,HIC,2025,1,0_4,
Pakistan,PAK,EMR,LMC,2025,3,65+,
Pakistan,PAK,EMR,LMC,2025,3,5_14,
Oman,OMN,EMR,HIC,2025,3,65+,
Belgium,BEL,EUR,HIC,2025,3,65+,
Belgium,BEL,EUR,HIC,2025,1,65+,
Pakistan,PAK,EMR,LMC,2025,1,0_4,
Pakistan,PAK,EMR,LMC,2025,2,0_4,
Pakistan,PAK,EMR,LMC,2025,3,0_4,
Pakistan,PAK,EMR,LMC,2025,1,15_64,
Pakistan,PAK,EMR,LMC,2025,2,15_64,
Pakistan,PAK,EMR,LMC,2025,3,15_64,
Belgium,BEL,EUR,HIC,2025,3,0_4,
Belgium,BEL,EUR,HIC,2025,2,65+,
Belgium,BEL,EUR,HIC,2025,2,0_4,
Belgium,BEL,EUR,HIC,2025,1,0_4,
Pakistan,PAK,EMR,LMC,2025,1,5_14,
Pakistan,PAK,EMR,LMC,2025,1,65+,
Pakistan,PAK,EMR,LMC,2025,2,5_14,
Pakistan,PAK,EMR,LMC,2025,2,65+,
Northern Mariana Islands,MNP,WPR,HIC,2025,1,15_64,
Niger,NER,AFR,LIC,2025,3,0_4,
Northern Mariana Islands,MNP,WPR,HIC,2025,3,5_14,
Northern Mariana Islands,MNP,WPR,HIC,2025,1,5_14,
Benin,BEN,AFR,LMC,2025,3,65+,
Benin,BEN,AFR,LMC,2025,3,5_14,
Benin,BEN,AFR,LMC,2025,2,65+,
Benin,BEN,AFR,LMC,2025,2,5_14,
Benin,BEN,AFR,LMC,2025,1,65+,
Benin,BEN,AFR,LMC,2025,1,5_14,
Niue,NIU,WPR,,2025,1,0_4,
Nigeria,NGA,AFR,LMC,2025,3,0_4,
Niue,NIU,WPR,,2025,2,0_4,
Niue,NIU,WPR,,2025,1,15_64,
Niue,NIU,WPR,,2025,2,15_64,
Niue,NIU,WPR,,2025,3,15_64,
Niue,NIU,WPR,,2025,2,5_14,
Niue,NIU,WPR,,2025,1,5_14,
Niue,NIU,WPR,,2025,3,5_14,
Niue,NIU,WPR,,2025,1,65+,
Niue,NIU,WPR,,2025,3,0_4,
Niue,NIU,WPR,,2025,2,65+,
Nigeria,NGA,AFR,LMC,2025,2,0_4,
Nigeria,NGA,AFR,LMC,2025,3,15_64,
Niger,NER,AFR,LIC,2025,2,15_64,
Niger,NER,AFR,LIC,2025,3,15_64,
Benin,BEN,AFR,LMC,2025,3,15_64,
Benin,BEN,AFR,LMC,2025,3,0_4,
Benin,BEN,AFR,LMC,2025,2,15_64,
Benin,BEN,AFR,LMC,2025,2,0_4,
Benin,BEN,AFR,LMC,2025,1,0_4,
Nigeria,NGA,AFR,LMC,2025,1,0_4,
Nigeria,NGA,AFR,LMC,2025,1,5_14,
Nigeria,NGA,AFR,LMC,2025,1,65+,
Nigeria,NGA,AFR,LMC,2025,2,5_14,
Nigeria,NGA,AFR,LMC,2025,2,65+,
Nigeria,NGA,AFR,LMC,2025,3,65+,
Benin,BEN,AFR,LMC,2025,1,15_64,
Nigeria,NGA,AFR,LMC,2025,1,15_64,
Nigeria,NGA,AFR,LMC,2025,2,15_64,
Nigeria,NGA,AFR,LMC,2025,3,5_14,
Niue,NIU,WPR,,2025,3,65+,
Norfolk Island,NFK,WPR,,2025,1,5_14,
Norfolk Island,NFK,WPR,,2025,2,5_14,
North Macedonia,MKD,EUR,UMC,2025,2,0_4,0
Belize,BLZ,AMR,UMC,2025,3,5_14,
Belize,BLZ,AMR,UMC,2025,3,0_4,
Belize,BLZ,AMR,UMC,2025,2,5_14,
Belize,BLZ,AMR,UMC,2025,2,0_4,
Belize,BLZ,AMR,UMC,2025,1,5_14,
Belize,BLZ,AMR,UMC,2025,1,0_4,
North Macedonia,MKD,EUR,UMC,2025,1,65+,0
North Macedonia,MKD,EUR,UMC,2025,3,65+,
North Macedonia,MKD,EUR,UMC,2025,3,5_14,
Northern Mariana Islands,MNP,WPR,HIC,2025,1,0_4,
Northern Mariana Islands,MNP,WPR,HIC,2025,1,65+,
Northern Mariana Islands,MNP,WPR,HIC,2025,2,0_4,
Northern Mariana Islands,MNP,WPR,HIC,2025,2,65+,
Northern Mariana Islands,MNP,WPR,HIC,2025,3,0_4,
Northern Mariana Islands,MNP,WPR,HIC,2025,3,65+,
North Macedonia,MKD,EUR,UMC,2025,1,15_64,0
North Macedonia,MKD,EUR,UMC,2025,2,65+,0
North Macedonia,MKD,EUR,UMC,2025,3,0_4,
North Macedonia,MKD,EUR,UMC,2025,2,5_14,0
Norfolk Island,NFK,WPR,,2025,3,5_14,
Norfolk Island,NFK,WPR,,2025,1,0_4,
Norfolk Island,NFK,WPR,,2025,2,15_64,
Norfolk Island,NFK,WPR,,2025,3,0_4,
Norfolk Island,NFK,WPR,,2025,1,15_64,
Norfolk Island,NFK,WPR,,2025,2,0_4,
Norfolk Island,NFK,WPR,,2025,3,15_64,
Norfolk Island,NFK,WPR,,2025,1,65+,
Norfolk Island,NFK,WPR,,2025,2,65+,
Norfolk Island,NFK,WPR,,2025,3,65+,
Belize,BLZ,AMR,UMC,2025,2,65+,
North Macedonia,MKD,EUR,UMC,2025,1,0_4,0
North Macedonia,MKD,EUR,UMC,2025,1,5_14,0
North Macedonia,MKD,EUR,UMC,2025,3,15_64,
Belize,BLZ,AMR,UMC,2025,3,65+,
Belize,BLZ,AMR,UMC,2025,1,65+,
North Macedonia,MKD,EUR,UMC,2025,2,15_64,0
Northern Mariana Islands,MNP,WPR,HIC,2025,2,5_14,
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,2,15_64,0
Bolivia (Plurinational State of),BOL,AMR,LMC,2025,3,0_4,0
Morocco,MAR,EMR,LMC,2025,3,0_4,
Malaysia,MYS,WPR,UMC,2025,2,65+,
Malaysia,MYS,WPR,UMC,2025,3,65+,
Maldives,MDV,SEAR,UMC,2025,1,0_4,
Maldives,MDV,SEAR,UMC,2025,2,0_4,
Maldives,MDV,SEAR,UMC,2025,3,0_4,
Maldives,MDV,SEAR,UMC,2025,1,15_64,
Maldives,MDV,SEAR,UMC,2025,2,15_64,
Malaysia,MYS,WPR,UMC,2025,3,15_64,
Maldives,MDV,SEAR,UMC,2025,3,15_64,
Botswana,BWA,AFR,UMC,2025,2,65+,
Botswana,BWA,AFR,UMC,2025,1,65+,
Maldives,MDV,SEAR,UMC,2025,1,5_14,
Maldives,MDV,SEAR,UMC,2025,1,65+,
Maldives,MDV,SEAR,UMC,2025,2,5_14,
Maldives,MDV,SEAR,UMC,2025,2,65+,
Maldives,MDV,SEAR,UMC,2025,3,5_14,
Botswana,BWA,AFR,UMC,2025,3,65+,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,1,15_64,0
Malaysia,MYS,WPR,UMC,2025,2,15_64,
Botswana,BWA,AFR,UMC,2025,2,0_4,
Malawi,MWI,AFR,LIC,2025,3,65+,
Malawi,MWI,AFR,LIC,2025,1,0_4,
Malawi,MWI,AFR,LIC,2025,1,15_64,
Malawi,MWI,AFR,LIC,2025,2,0_4,
Malawi,MWI,AFR,LIC,2025,2,15_64,
Malawi,MWI,AFR,LIC,2025,3,0_4,
Malawi,MWI,AFR,LIC,2025,3,15_64,
Botswana,BWA,AFR,UMC,2025,1,0_4,
Malaysia,MYS,WPR,UMC,2025,1,0_4,0
Malaysia,MYS,WPR,UMC,2025,2,0_4,
Malaysia,MYS,WPR,UMC,2025,2,5_14,
Malaysia,MYS,WPR,UMC,2025,3,0_4,
Malaysia,MYS,WPR,UMC,2025,3,5_14,
Malaysia,MYS,WPR,UMC,2025,1,5_14,0
Malaysia,MYS,WPR,UMC,2025,1,65+,0
Botswana,BWA,AFR,UMC,2025,3,0_4,
Malaysia,MYS,WPR,UMC,2025,1,15_64,0
Maldives,MDV,SEAR,UMC,2025,3,65+,
Mali,MLI,AFR,LIC,2025,1,15_64,
Mali,MLI,AFR,LIC,2025,2,15_64,
Malta,MLT,EUR,HIC,2025,3,5_14,
Malta,MLT,EUR,HIC,2025,1,65+,2
Malta,MLT,EUR,HIC,2025,1,0_4,
Malta,MLT,EUR,HIC,2025,2,0_4,
Malta,MLT,EUR,HIC,2025,3,0_4,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,5_14,0
Malta,MLT,EUR,HIC,2025,3,15_64,
Malta,MLT,EUR,HIC,2025,2,5_14,
Marshall Islands,MHL,WPR,UMC,2025,1,0_4,
Marshall Islands,MHL,WPR,UMC,2025,2,0_4,
Marshall Islands,MHL,WPR,UMC,2025,3,0_4,
Marshall Islands,MHL,WPR,UMC,2025,3,5_14,
Marshall Islands,MHL,WPR,UMC,2025,1,15_64,
Marshall Islands,MHL,WPR,UMC,2025,2,15_64,
Marshall Islands,MHL,WPR,UMC,2025,2,5_14,
Marshall Islands,MHL,WPR,UMC,2025,3,15_64,
Marshall Islands,MHL,WPR,UMC,2025,1,5_14,
Malta,MLT,EUR,HIC,2025,1,5_14,
Malta,MLT,EUR,HIC,2025,2,65+,4
Malta,MLT,EUR,HIC,2025,1,15_64,
Mali,MLI,AFR,LIC,2025,3,15_64,
Mali,MLI,AFR,LIC,2025,1,5_14,
Mali,MLI,AFR,LIC,2025,2,5_14,
Mali,MLI,AFR,LIC,2025,3,5_14,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,3,5_14,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,65+,1
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,0_4,0
Mali,MLI,AFR,LIC,2025,1,0_4,
Mali,MLI,AFR,LIC,2025,2,0_4,
Mali,MLI,AFR,LIC,2025,3,0_4,
Mali,MLI,AFR,LIC,2025,1,65+,
Mali,MLI,AFR,LIC,2025,2,65+,
Mali,MLI,AFR,LIC,2025,3,65+,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,3,0_4,0
Bosnia and Herzegovina,BIH,EUR,UMC,2025,2,15_64,0
Malta,MLT,EUR,HIC,2025,3,65+,
Malta,MLT,EUR,HIC,2025,2,15_64,1
Malawi,MWI,AFR,LIC,2025,2,65+,
Bosnia and Herzegovina,BIH,EUR,UMC,2025,3,15_64,0
Botswana,BWA,AFR,UMC,2025,1,15_64,
Botswana,BWA,AFR,UMC,2025,3,15_64,
Liechtenstein,LIE,EUR,,2025,3,5_14,0
Liechtenstein,LIE,EUR,,2025,3,65+,0
Liechtenstein,LIE,EUR,,2025,1,0_4,0
Liechtenstein,LIE,EUR,,2025,2,65+,0
Liechtenstein,LIE,EUR,,2025,1,15_64,0
Liechtenstein,LIE,EUR,,2025,1,65+,0
Liechtenstein,LIE,EUR,,2025,2,5_14,0
Liechtenstein,LIE,EUR,,2025,3,0_4,0
Liechtenstein,LIE,EUR,,2025,3,15_64,0
Lithuania,LTU,EUR,HIC,2025,1,15_64,1
Lithuania,LTU,EUR,HIC,2025,2,0_4,0
Lithuania,LTU,EUR,HIC,2025,3,15_64,0
Lithuania,LTU,EUR,HIC,2025,3,5_14,0
Bouvet Island,BVT,AMR,,2025,3,15_64,
Bouvet Island,BVT,AMR,,2025,2,15_64,
Bouvet Island,BVT,AMR,,2025,1,15_64,
Lithuania,LTU,EUR,HIC,2025,1,65+,4
Lithuania,LTU,EUR,HIC,2025,2,15_64,1
Liechtenstein,LIE,EUR,,2025,2,0_4,0
Liechtenstein,LIE,EUR,,2025,1,5_14,0
Libya,LBY,EMR,UMC,2025,3,15_64,
Bouvet Island,BVT,AMR,,2025,3,5_14,
Bouvet Island,BVT,AMR,,2025,2,5_14,
Bouvet Island,BVT,AMR,,2025,1,5_14,
Libya,LBY,EMR,UMC,2025,1,5_14,
Libya,LBY,EMR,UMC,2025,2,5_14,
Libya,LBY,EMR,UMC,2025,3,5_14,
Liechtenstein,LIE,EUR,,2025,2,15_64,0
Libya,LBY,EMR,UMC,2025,1,0_4,
Libya,LBY,EMR,UMC,2025,3,0_4,
Libya,LBY,EMR,UMC,2025,1,65+,
Libya,LBY,EMR,UMC,2025,2,65+,
Libya,LBY,EMR,UMC,2025,3,65+,
Bouvet Island,BVT,AMR,,2025,3,0_4,
Bouvet Island,BVT,AMR,,2025,2,0_4,
Bouvet Island,BVT,AMR,,2025,1,0_4,
Libya,LBY,EMR,UMC,2025,2,0_4,
Lithuania,LTU,EUR,HIC,2025,1,0_4,0
Lithuania,LTU,EUR,HIC,2025,1,5_14,0
Lithuania,LTU,EUR,HIC,2025,3,0_4,0
Madagascar,MDG,AFR,LIC,2025,2,65+,
Madagascar,MDG,AFR,LIC,2025,3,0_4,
Madagascar,MDG,AFR,LIC,2025,3,65+,
Madagascar,MDG,AFR,LIC,2025,1,15_64,
Madagascar,MDG,AFR,LIC,2025,2,15_64,
Madagascar,MDG,AFR,LIC,2025,3,15_64,
Madagascar,MDG,AFR,LIC,2025,1,5_14,
Madagascar,MDG,AFR,LIC,2025,2,0_4,
Madagascar,MDG,AFR,LIC,2025,2,5_14,
Botswana,BWA,AFR,UMC,2025,3,5_14,
Botswana,BWA,AFR,UMC,2025,2,5_14,
Botswana,BWA,AFR,UMC,2025,1,5_14,
Malawi,MWI,AFR,LIC,2025,1,5_14,
Malawi,MWI,AFR,LIC,2025,2,5_14,
Malawi,MWI,AFR,LIC,2025,3,5_14,
Malawi,MWI,AFR,LIC,2025,1,65+,
Madagascar,MDG,AFR,LIC,2025,3,5_14,
Madagascar,MDG,AFR,LIC,2025,1,65+,
Madagascar,MDG,AFR,LIC,2025,1,0_4,
Luxembourg,LUX,EUR,HIC,2025,3,15_64,
Lithuania,LTU,EUR,HIC,2025,2,65+,4
Lithuania,LTU,EUR,HIC,2025,2,5_14,0
Lithuania,LTU,EUR,HIC,2025,3,65+,1
Luxembourg,LUX,EUR,HIC,2025,1,5_14,
Luxembourg,LUX,EUR,HIC,2025,2,5_14,
Luxembourg,LUX,EUR,HIC,2025,3,5_14,
Luxembourg,LUX,EUR,HIC,2025,1,0_4,
Luxembourg,LUX,EUR,HIC,2025,1,65+,
Bouvet Island,BVT,AMR,,2025,3,65+,
Bouvet Island,BVT,AMR,,2025,2,65+,
Bouvet Island,BVT,AMR,,2025,1,65+,
Luxembourg,LUX,EUR,HIC,2025,2,0_4,
Luxembourg,LUX,EUR,HIC,2025,2,65+,
Luxembourg,LUX,EUR,HIC,2025,3,0_4,
Luxembourg,LUX,EUR,HIC,2025,3,65+,
Luxembourg,LUX,EUR,HIC,2025,1,15_64,
Luxembourg,LUX,EUR,HIC,2025,2,15_64,
Botswana,BWA,AFR,UMC,2025,2,15_64,
Marshall Islands,MHL,WPR,UMC,2025,1,65+,
Marshall Islands,MHL,WPR,UMC,2025,2,65+,
Marshall Islands,MHL,WPR,UMC,2025,3,65+,
Monaco,MCO,EUR,HIC,2025,3,0_4,
Monaco,MCO,EUR,HIC,2025,3,65+,
Monaco,MCO,EUR,HIC,2025,1,0_4,
Monaco,MCO,EUR,HIC,2025,2,15_64,
Mongolia,MNG,WPR,LMC,2025,1,5_14,
Mongolia,MNG,WPR,LMC,2025,2,5_14,
